@relation whatever

@attribute Name string
@attribute Tempo numeric
@attribute Dance numeric
@attribute Speech numeric
@attribute Liveness numeric
@attribute Energy numeric
@attribute Valencia { triste , alegre }


@data
03- SIM - Pablo - Instagram @DJBateyaPida.mp3,131.849,0.6791389199440606,0.032276209311210446,0.7958428079750307,0.6566721131262747,?
06- PORQUE HOMEM NÃO CHORA - Pablo - Instagram @DJBateyaPida.mp3,132.069,0.6652226278052007,0.031945587933483344,0.6354152981899605,0.5881923690797566,?
05- VINGANÇA DO AMOR - Pablo - Instagram @DJBateyaPida.mp3,132.031,0.5516837652267503,0.04771465106780509,0.8296772605327521,0.6771059206536233,?
19 Vestido-de-seda - Acervo Arrocha.com.br.mp3,135.347,0.5957899834581936,0.23355445250232953,0.3632826296585598,0.8602302787914998,?
16- AI QUE GOSTOSO - Pablo - Instagram @DJBateyaPida.mp3,137.963,0.8344991689457171,0.03018184913378119,0.17165928880688605,0.800798468569397,?
10-bebo-choro - Acervo Arrocha.com.br.mp3,131.849,0.7440319863558525,0.05490124405871977,0.28079526113473224,0.766327060757942,?
11 Amanha-sei-la - Acervo Arrocha.com.br.mp3,134.889,0.8206052998998217,0.07066305554288793,0.05936158892474565,0.8947087357281869,?
04-passaro-de-fogo - Acervo Arrocha.com.br.mp3,131.772,0.718058712527557,0.06437575473739643,0.4607248646581036,0.7487439776056365,?
13- CONTO OU NÃO CONTO - Pablo - Instagram @DJBateyaPida.mp3,131.966,0.7053415914593745,0.04349653178695917,0.6058812197694673,0.692864311641615,?
14- DEUS TE INVENTOU PRA MIM - Pablo - Instagram @DJBateyaPida.mp3,137.875,0.7121088256096839,0.03431609299098343,0.4505875873754469,0.8028838363505812,?
07  DEUS TE INVENTOU PRA MIM - Acervo Arrocha.com.br.mp3,137.903,0.7013857047562964,0.03321276843700227,0.42831133494916773,0.7822647758483764,?
09- TA TUDO TERMINADO - Pablo - Instagram @DJBateyaPida.mp3,131.813,0.6405966852901834,0.03038452300032113,0.7688139057918404,0.6009244875281369,?
02 Paguei pra ver - Acervo Arrocha.com.br.mp3,131.831,0.6399924794082482,0.030544235817409116,0.07400634747778807,0.6022558570811017,?
04- BILU BILU - Pablo - Instagram @DJBateyaPida.mp3,132.022,0.6147413566094024,0.0320901802381226,0.5689357442558068,0.6436872335137446,?
16 Baby - Acervo Arrocha.com.br.mp3,131.76,0.7635463746550141,0.03464776384934515,0.12260907732139015,0.7670094214004166,?
12- TRAPOS E FARRAPOS - Pablo - Instagram @DJBateyaPida.mp3,131.758,0.6723511644358675,0.0368761171847129,0.5858052572703326,0.6283394427372038,?
12 TA TUDO TERMINADO - Acervo Arrocha.com.br.mp3,131.759,0.6407269724718869,0.032816428286875865,0.6714988097384619,0.5949104963935424,?
15- FUI EU - Pablo - Instagram @DJBateyaPida.mp3,138.061,0.704440276093937,0.03504931981921189,0.36498151515424837,0.7856845263784361,?
06 Fui fiel - Acervo Arrocha.com.br.mp3,131.956,0.6686922384787838,0.03600922052119293,0.1628875584895582,0.5432503173283315,?
08- UM DIA - Pablo - Instagram @DJBateyaPida.mp3,132.003,0.6866057723862914,0.033284920049926114,0.37173464607518103,0.6012037209671081,?
07- TA FAZENDO FALTA - Pablo - Instagram @DJBateyaPida.mp3,131.882,0.6456415248666992,0.07576943571241102,0.6461001770174666,0.6360959148011978,?
15 Amigo - Acervo Arrocha.com.br.mp3,135.072,0.7873075105256454,0.059794442876085485,0.07598883743388793,0.7584840960681029,?
01- AGORA - Pablo - Instagram @DJBateyaPida.mp3,131.917,0.6944728056530244,0.03686946461634283,0.6967136279513174,0.6600799669069871,?
09-separacao - Acervo Arrocha.com.br.mp3,131.882,0.7161059307294949,0.047335284014745016,0.20882584652064562,0.7392237893924695,?
10- AO SABOR DO VENTO - Pablo - Instagram @DJBateyaPida.mp3,131.968,0.5940009153160735,0.03438403962371178,0.24369633214170977,0.6152314143762304,?
01 Tomara - Acervo Arrocha.com.br.mp3,131.929,0.7704143176963794,0.03346379810529043,0.42298602798372004,0.6341549394386236,?
05 Quase me chamou de amor - Acervo Arrocha.com.br.mp3,131.754,0.6501735467287224,0.03249813235576188,0.2587034192488756,0.5414003564280139,?
20 ME LIGA BEIJO E TCHAU - Acervo Arrocha.com.br.mp3,131.808,0.7598426123758331,0.06864558034664803,0.16777301872002992,0.6233586155422826,?
17 Vou-gritar-que-te-amo - Acervo Arrocha.com.br.mp3,132.019,0.6974789754008236,0.03482044691264802,0.32685769730791003,0.7255841914169068,?
13 CASA VAZIA - Acervo Arrocha.com.br.mp3,131.66,0.6728099023708637,0.03557130410571108,0.10804456387552491,0.5889923905736242,?
11- NÃO DEU - Pablo - Instagram @DJBateyaPida.mp3,131.899,0.6810173394688129,0.03056637838996934,0.5152003972933104,0.6344123154550463,?
12 PECADO DE AMOR - Acervo Arrocha.com.br.mp3,131.901,0.7764981836782402,0.03926125030116384,0.1674624883955823,0.6663456238275615,?
02- EMBOLOU - Pablo - Instagram @DJBateyaPida.mp3,131.908,0.7089473443108385,0.05236057809187983,0.32331612479718186,0.6874584380420644,?
14 Pena-de-morte - Acervo Arrocha.com.br.mp3,131.994,0.7633770199478974,0.03057829998765793,0.27279881594240224,0.693871147170587,?
08 Contato - Acervo Arrocha.com.br.mp3,131.882,0.6764944458497684,0.03349080325692505,0.6791185931356852,0.5613087038066744,?
18 Pense-um-pouco - Acervo Arrocha.com.br.mp3,131.809,0.6923781308300521,0.05169052713583472,0.3031120265695722,0.8144524477406968,?
